simulation_time,altitude,filtered_roll,filtered_pitch,filtered_yaw,ml_roll_error,ml_pitch_error,ml_yaw_error,stability_index,air_drift
1.088,0.08570874272492959,7.438604595530647e-07,-0.04542459077847549,-2.0461836666305198,-0.00040347872083091457,-0.03252058128530212,-1.0141483764627655,0.9772873326805325,6.860646985504488e-07
1.168,0.08570879902978096,1.0330186768859032e-06,-0.06126389377988059,-2.7596437984038134,0.0037257062235154306,-0.04993867678347044,-2.285249634635067,0.9693675366007213,1.8303084947086127e-06
1.248,0.08570890794336493,1.1708824645339202e-06,-0.06678835971660516,-3.00841196806974,0.005165880285143854,-0.05601574595337966,-2.730724209862604,0.9666052347004651,3.0701863107030593e-06
1.328,0.08570907110280354,1.2568182615762054e-06,-0.06871725310137532,-3.0951520699257316,0.005668802459437036,-0.05814026728685283,-2.886948766835854,0.9656407450401816,4.322556267765484e-06
1.408,0.08570928869721467,1.3247176138914806e-06,-0.06939344562906792,-3.1253964784577466,0.005841347683347505,-0.05888705214833953,-2.9436710044371144,0.9653026148266591,5.575491229852508e-06
1.488,0.08570956071196309,1.3863351445260337e-06,-0.069633846732994,-3.135942057377371,0.005903424531738101,-0.05915520917273859,-2.9611925216624737,0.9651823834659308,6.828515835124977e-06
1.568,0.08570988714337215,1.4457638403506197e-06,-0.06972329516239024,-3.1396190797238472,0.005924720014392723,-0.05925729963160317,-2.9664884766950896,0.9651376295368848,8.081574863288758e-06
1.6480000000000001,0.08571026798851214,1.5044303730618356e-06,-0.06976110805242514,-3.140901185086631,0.005933070750475493,-0.05930253315911213,-2.9695556257741837,0.9651186937586009,9.334661777279073e-06
1.728,0.0857107032441177,1.5628322787167757e-06,-0.0697819151472317,-3.141348235139452,0.005938157562393716,-0.05932905273562622,-2.971245484729713,0.9651082610102448,1.058777668196776e-05
1.808,0.08571119290647194,1.6211431818186782e-06,-0.06979779109189588,-3.1415041200175926,0.005939961578046706,-0.05935009539741301,-2.974489096356595,0.9651002938824611,1.1840921123406201e-05
1.8880000000000001,0.08571173697139495,1.6794237726754715e-06,-0.06981294605468916,-3.141558482485122,0.005940471371181998,-0.05937050253339397,-2.9757211895068125,0.9650926872607691,1.309409746825729e-05
1.968,0.08571233543424131,1.7376953643127212e-06,-0.06982884803034699,-3.141577446885308,0.00594419501184926,-0.059391555213090336,-2.9750606561531647,0.9650847071371443,1.4347307895177255e-05
2.048,0.08571298828990118,1.7959655400368874e-06,-0.06984600887679009,-3.141584069351126,0.005947559566903531,-0.059414165979290556,-2.9784083263598236,0.965076097578835,1.5600555256108602e-05
2.128,0.08571369553279923,1.8542370958070767e-06,-0.06986460706761788,-3.14158638905917,0.005949695659931972,-0.059438165203129945,-2.977966154608257,0.9650667693476431,1.6853842242884098e-05
2.208,0.08571445715689488,1.9125111582566704e-06,-0.06988470483247497,-3.141587209097107,0.00595349370669797,-0.05946393449792885,-2.981551680856397,0.9650566913281834,1.810717194329829e-05
2.2880000000000003,0.08571527315568192,1.970788271913484e-06,-0.06990632386921462,-3.1415875068412857,0.005958010281464223,-0.05949160143613648,-2.9813541624183704,0.9650458526712568,1.9360547108164397e-05
2.368,0.08571614352218895,2.0290687788837952e-06,-0.06992947174309704,-3.141587623081877,0.005963248957613173,-0.059520334468717365,-2.98323358701867,0.965034249594062,2.0613970814138193e-05
2.448,0.08571706824897854,2.0873529500750153e-06,-0.06995415109161568,-3.1415876766451794,0.005967303632379811,-0.059551326705233915,-2.985237043285066,0.9650218807777171,2.186744597587434e-05
2.528,0.08571804732814785,2.1456410318321477e-06,-0.06998036283402322,-3.141587708963471,0.0059730357630107395,-0.05958386324434903,-2.9893177306861167,0.9650087457624725,2.3120975750383282e-05
2.608,0.08571908075132753,2.2039332617838795e-06,-0.07000810729042094,-3.141587734483405,0.005978538152175684,-0.059617944209530274,-2.991569425165526,0.9649948443881586,2.4374562812001214e-05
2.688,0.08572016850968288,2.262229874900167e-06,-0.07003738457196346,-3.1415877582423293,0.005982857178169503,-0.059653808062289204,-2.9958983857444976,0.9649801765990809,2.5628210338416e-05
2.7680000000000002,0.08572131059391301,2.320531104942227e-06,-0.07006819471690975,-3.141587781996768,0.005989807556438926,-0.05969121639888304,-2.998398365540527,0.9649647423759926,2.6881921238794612e-05
2.848,0.08572782315255201,4.86852369140163e-06,-0.07010517320450713,-3.141587992953769,0.005962700321393514,-0.0598181500963903,-3.0015995438992515,0.9649449791359007,0.0003219923440003198
2.928,0.08695061254564289,3.556269714346389e-05,-0.07284232841963488,-1.4388475615898706,-0.0013626500163617522,-0.0804910688534631,-3.649590800089517,0.9635610544416108,0.018312058430407972
3.008,0.09346850907321252,5.6672696437728134e-05,-0.09521141542670343,1.5444892888263588,-0.02987556985749048,-0.1804608127321682,-7.267619983210629,0.9523659559384294,0.07308954098617329
3.088,0.10963046194080184,7.07024298836552e-05,-0.16787485287799742,2.584708174825685,-0.08407434819221138,-0.4208583630571115,-16.98566825361937,0.9160272223460595,0.20410764286412378
3.168,0.13444803096715363,6.500804243562618e-05,-0.3101820679908007,2.9474055808423154,-0.09660688683677791,-0.6862501097624834,-31.059239954099354,0.8448764619833818,0.21725987414602277
3.248,0.15364761800273158,2.409074596984734e-05,-0.45860800233221616,0.5008567315795937,-0.04874997278251716,-0.8294269624777053,-42.46339367717175,0.770683953460907,0.21938118145051186
3.3280000000000003,0.16918429819269398,3.454224903939163e-06,-0.5973038271358393,-1.871545419667312,-0.004693373733109428,-0.964549103141409,-53.260853376856446,0.7013463593196284,0.24933712021148255
3.408,0.18353459290351146,-4.352449540359821e-06,-0.7372161842722017,-2.6987500817296617,0.02135896891423906,-1.1412887468445738,-65.06092564682886,0.631389731639129,0.33060015018584826
3.488,0.19678647345699626,-6.928807059650479e-06,-0.8996206192577004,-2.9871781685176355,0.030649842193218972,-1.3877342130366819,-80.10069540463059,0.55018622596762,0.4863602914923226
3.568,0.20407993387622997,-0.00010087446038136549,-1.1194100126886344,-0.14383442824154757,0.15205647970516167,-1.313383724066014,-102.62349430893443,0.4402445564254921,0.7780141140629212
3.648,0.1859679201668546,0.8281085277637282,-1.3222138592822372,0.3372491469619678,0.5392479624392639,-1.035668723672876,-183.4092824228627,0.0,1.1331933407549457
3.728,0.057507514682611505,2.317845786620463,-0.7666903232776223,0.10694712995096446,0.5618004526736389,0.7603131603298094,-222.9170949228627,0.0,0.6186723805603769
3.8080000000000003,0.11403369463273065,2.831914211461367,0.0051847003675706965,0.010094633770333584,0.5113243784548889,-0.1586569477024171,-196.2139699228627,0.0,0.8326717612318253
3.888,0.18227420281146062,2.200893988244176,0.7733405082111119,-0.8702891370193743,0.6492485727908264,0.9106103252468016,-228.5733449228627,0.0,0.8527966135807035
3.968,0.25544784168763646,0.895981921523534,0.0287916430831274,1.4327780096485272,0.4523263750030217,2.8165797673039803,-192.68800719283556,0.5376132176966693,2.3814936430286044
4.048,0.08806658327580305,0.010259192702565312,-0.007900357455065746,0.631248318303144,-0.10479909214012777,2.7076578540987026,-145.80203540506164,0.9909202249211845,0.7380545316332845
4.128,0.20168959639450518,1.54439911438065,0.4660069107053513,0.26586024899510874,0.4319023813845765,0.04188168755148917,-241.9483449228627,0.0,0.2261509030496816
4.208,0.3205814428150882,1.1115686430125018,0.5600749565620774,-0.8412352575328401,0.45973175934831645,1.0295986050121084,-231.28894587151223,0.16417820021271035,2.0095991884894637
4.288,0.28262283458892923,1.2143699558302297,-0.2934897582989377,-0.42432497057526886,0.5496421696914191,2.7021860139267915,-256.59664993783986,0.2460701429354163,1.9599479094480876
4.368,0.23268054341274258,1.7145902377877715,0.21510330576555536,-0.15054480152631483,1.1010725818538318,3.2036414051398183,-287.26997678689065,0.03515322822333655,1.7073120056928692
4.448,0.30484738319356386,2.0576878481020904,0.12061036089001466,-0.1874438862531066,2.1762947764041076,0.6880275081691649,-255.8545949228627,0.0,1.7191751328986036
4.5280000000000005,0.2916019926553533,-0.3966406356172436,0.29009097215405283,0.5470469877667005,2.274121477901209,-1.290552507435848,1.6765191707916989,0.6566341961143518,1.8942492398086666
4.6080000000000005,0.25010168824118906,-0.9072833926162878,0.6416455755311493,-0.641502650037516,2.631808920343607,-2.0262970821139676,-30.51066539259705,0.22553551592628152,0.45003030643587993
4.688,0.18760731696404315,-0.04166831465715842,0.20982003848737057,-1.545366042512744,1.3910878320118423,-1.2925317807357897,-10.29266443692817,0.8742558234277356,2.161660945581655
4.768,0.2940225563461568,0.6906752078377616,-0.49777040235141073,-0.3272410058644817,0.2010475104407678,0.6783393637119723,-175.26108072972565,0.40577719490541386,2.3455999762742072
4.848,0.30018907624520413,0.7277284679485838,-0.30953845722845,0.01108621261302304,-1.0359455276821585,1.124525784678191,-151.7908291253357,0.48136653741148305,1.0348403504225705
4.928,0.2412243248181721,-0.6800054059451508,-0.20236479504786536,-1.1285681593172265,-0.8300001496148498,1.2735483812802768,-61.66008523252124,0.558814899503492,0.7938702508549983
1.088,0.08570874272492959,7.438604595530647e-07,-0.04542459077847549,-2.0461836666305198,-0.00040347872083091457,-0.03252058128530212,-1.0141483764627655,0.9772873326805325,6.860646985504488e-07
1.168,0.08570879902978096,1.0330186768859032e-06,-0.06126389377988059,-2.7596437984038134,0.0037257062235154306,-0.04993867678347044,-2.285249634635067,0.9693675366007213,1.8303084947086127e-06
1.248,0.08570890794336493,1.1708824645339202e-06,-0.06678835971660516,-3.00841196806974,0.005165880285143854,-0.05601574595337966,-2.730724209862604,0.9666052347004651,3.0701863107030593e-06
1.328,0.08570907110280354,1.2568182615762054e-06,-0.06871725310137532,-3.0951520699257316,0.005668802459437036,-0.05814026728685283,-2.886948766835854,0.9656407450401816,4.322556267765484e-06
1.408,0.08570928869721467,1.3247176138914806e-06,-0.06939344562906792,-3.1253964784577466,0.005841347683347505,-0.05888705214833953,-2.9436710044371144,0.9653026148266591,5.575491229852508e-06
1.488,0.08570956071196309,1.3863351445260337e-06,-0.069633846732994,-3.135942057377371,0.005903424531738101,-0.05915520917273859,-2.9611925216624737,0.9651823834659308,6.828515835124977e-06
1.568,0.08570988714337215,1.4457638403506197e-06,-0.06972329516239024,-3.1396190797238472,0.005924720014392723,-0.05925729963160317,-2.9664884766950896,0.9651376295368848,8.081574863288758e-06
1.6480000000000001,0.08571026798851214,1.5044303730618356e-06,-0.06976110805242514,-3.140901185086631,0.005933070750475493,-0.05930253315911213,-2.9695556257741837,0.9651186937586009,9.334661777279073e-06
1.728,0.0857107032441177,1.5628322787167757e-06,-0.0697819151472317,-3.141348235139452,0.005938157562393716,-0.05932905273562622,-2.971245484729713,0.9651082610102448,1.058777668196776e-05
1.808,0.08571119290647194,1.6211431818186782e-06,-0.06979779109189588,-3.1415041200175926,0.005939961578046706,-0.05935009539741301,-2.974489096356595,0.9651002938824611,1.1840921123406201e-05
1.8880000000000001,0.08571173697139495,1.6794237726754715e-06,-0.06981294605468916,-3.141558482485122,0.005940471371181998,-0.05937050253339397,-2.9757211895068125,0.9650926872607691,1.309409746825729e-05
1.968,0.08571233543424131,1.7376953643127212e-06,-0.06982884803034699,-3.141577446885308,0.00594419501184926,-0.059391555213090336,-2.9750606561531647,0.9650847071371443,1.4347307895177255e-05
2.048,0.08571298828990118,1.7959655400368874e-06,-0.06984600887679009,-3.141584069351126,0.005947559566903531,-0.059414165979290556,-2.9784083263598236,0.965076097578835,1.5600555256108602e-05
2.128,0.08571369553279923,1.8542370958070767e-06,-0.06986460706761788,-3.14158638905917,0.005949695659931972,-0.059438165203129945,-2.977966154608257,0.9650667693476431,1.6853842242884098e-05
2.208,0.08571445715689488,1.9125111582566704e-06,-0.06988470483247497,-3.141587209097107,0.00595349370669797,-0.05946393449792885,-2.981551680856397,0.9650566913281834,1.810717194329829e-05
2.2880000000000003,0.08571527315568192,1.970788271913484e-06,-0.06990632386921462,-3.1415875068412857,0.005958010281464223,-0.05949160143613648,-2.9813541624183704,0.9650458526712568,1.9360547108164397e-05
2.368,0.08571614352218895,2.0290687788837952e-06,-0.06992947174309704,-3.141587623081877,0.005963248957613173,-0.059520334468717365,-2.98323358701867,0.965034249594062,2.0613970814138193e-05
2.448,0.08571706824897854,2.0873529500750153e-06,-0.06995415109161568,-3.1415876766451794,0.005967303632379811,-0.059551326705233915,-2.985237043285066,0.9650218807777171,2.186744597587434e-05
2.528,0.08571804732814785,2.1456410318321477e-06,-0.06998036283402322,-3.141587708963471,0.0059730357630107395,-0.05958386324434903,-2.9893177306861167,0.9650087457624725,2.3120975750383282e-05
2.608,0.08571908075132753,2.2039332617838795e-06,-0.07000810729042094,-3.141587734483405,0.005978538152175684,-0.059617944209530274,-2.991569425165526,0.9649948443881586,2.4374562812001214e-05
2.688,0.08572016850968288,2.262229874900167e-06,-0.07003738457196346,-3.1415877582423293,0.005982857178169503,-0.059653808062289204,-2.9958983857444976,0.9649801765990809,2.5628210338416e-05
2.7680000000000002,0.08572131059391301,2.320531104942227e-06,-0.07006819471690975,-3.141587781996768,0.005989807556438926,-0.05969121639888304,-2.998398365540527,0.9649647423759926,2.6881921238794612e-05
2.848,0.08572782315255201,4.86852369140163e-06,-0.07010517320450713,-3.141587992953769,0.005962700321393514,-0.0598181500963903,-3.0015995438992515,0.9649449791359007,0.0003219923440003198
2.928,0.08695061254564289,3.556269714346389e-05,-0.07284232841963488,-1.4388475615898706,-0.0013626500163617522,-0.0804910688534631,-3.649590800089517,0.9635610544416108,0.018312058430407972
3.008,0.09346850907321252,5.6672696437728134e-05,-0.09521141542670343,1.5444892888263588,-0.02987556985749048,-0.1804608127321682,-7.267619983210629,0.9523659559384294,0.07308954098617329
3.088,0.10963046194080184,7.07024298836552e-05,-0.16787485287799742,2.584708174825685,-0.08407434819221138,-0.4208583630571115,-16.98566825361937,0.9160272223460595,0.20410764286412378
3.168,0.13444803096715363,6.500804243562618e-05,-0.3101820679908007,2.9474055808423154,-0.09660688683677791,-0.6862501097624834,-31.059239954099354,0.8448764619833818,0.21725987414602277
3.248,0.15364761800273158,2.409074596984734e-05,-0.45860800233221616,0.5008567315795937,-0.04874997278251716,-0.8294269624777053,-42.46339367717175,0.770683953460907,0.21938118145051186
3.3280000000000003,0.16918429819269398,3.454224903939163e-06,-0.5973038271358393,-1.871545419667312,-0.004693373733109428,-0.964549103141409,-53.260853376856446,0.7013463593196284,0.24933712021148255
3.408,0.18353459290351146,-4.352449540359821e-06,-0.7372161842722017,-2.6987500817296617,0.02135896891423906,-1.1412887468445738,-65.06092564682886,0.631389731639129,0.33060015018584826
3.488,0.19678647345699626,-6.928807059650479e-06,-0.8996206192577004,-2.9871781685176355,0.030649842193218972,-1.3877342130366819,-80.10069540463059,0.55018622596762,0.4863602914923226
3.568,0.20407993387622997,-0.00010087446038136549,-1.1194100126886344,-0.14383442824154757,0.15205647970516167,-1.313383724066014,-102.62349430893443,0.4402445564254921,0.7780141140629212
3.648,0.1859679201668546,0.8281085277637282,-1.3222138592822372,0.3372491469619678,0.5392479624392639,-1.035668723672876,-183.4092824228627,0.0,1.1331933407549457
3.728,0.057507514682611505,2.317845786620463,-0.7666903232776223,0.10694712995096446,0.5618004526736389,0.7603131603298094,-222.9170949228627,0.0,0.6186723805603769
3.8080000000000003,0.11403369463273065,2.831914211461367,0.0051847003675706965,0.010094633770333584,0.5113243784548889,-0.1586569477024171,-196.2139699228627,0.0,0.8326717612318253
3.888,0.18227420281146062,2.200893988244176,0.7733405082111119,-0.8702891370193743,0.6492485727908264,0.9106103252468016,-228.5733449228627,0.0,0.8527966135807035
3.968,0.25544784168763646,0.895981921523534,0.0287916430831274,1.4327780096485272,0.4523263750030217,2.8165797673039803,-192.68800719283556,0.5376132176966693,2.3814936430286044
